analysis_id,size
Stichting-MINIX-Research-Foundation/minix,440
freebsd/freebsd-src,168
hanwckf/rt-n56u,43
linux-test-project/ltp,27
vifm/vifm,25
MidnightCommander/mc,23
torvalds/linux,23
vk-com/kphp-kdb,22
systemd/systemd,21
reactos/reactos,16
checkpoint-restore/criu,15
pmq20/ruby-packer,14
minoca/os,13
git/git,13
emscripten-core/emscripten,10
helloexp/0day,10
jarun/nnn,10
joncampbell123/dosbox-x,10
tanersener/mobile-ffmpeg,9
apple/cups,8
RT-Thread/rt-thread,8
SchedMD/slurm,8
OpenRC/openrc,8
xyb3rt/sxiv,8
osmc/osmc,7
hashcat/hashcat,7
julius-speech/julius,7
pymumu/smartdns,7
espressif/esp-idf,7
openai/retro,7
mpv-player/mpv,7
madler/zlib,7
sysstat/sysstat,7
mgba-emu/mgba,7
F-Stack/f-stack,7
wazuh/wazuh,7
ventoy/Ventoy,6
immortalwrt/immortalwrt,5
TelegramMessenger/Telegram-iOS,5
openwrt/openwrt,5
bitnine-oss/agensgraph,5
nfs-ganesha/nfs-ganesha,5
GNOME/glib,5
id-Software/Quake-III-Arena,4
alexdobin/STAR,4
madler/pigz,4
derf/feh,4
cundong/SmartAppUpdates,4
Cisco-Talos/clamav,4
mabeijianxi/small-video-record,3
id-Software/Quake-2,3
numberwolf/h265web.js,3
obsproject/obs-studio,3
yangchaojiang/yjPlay,3
xemu-project/xemu,3
jonasmr/microprofile,3
jech/polipo,3
yugabyte/yugabyte-db,3
libgit2/libgit2,3
cesanta/mongoose,3
cpq/bare-metal-programming-guide,3
openzfs/zfs,3
guillaumechereau/goxel,3
greenplum-db/gpdb,3
ming1016/study,3
gpac/gpac,3
gozfree/gear-lib,3
Tencent/TBase,3
coolsnowwolf/lede,3
taosdata/TDengine,3
postgres/postgres,3
warmcat/libwebsockets,2
pure-data/pure-data,2
rui314/8cc,2
mongrel2/mongrel2,2
tsoding/olive.c,2
premake/premake-core,2
tboox/tbox,2
werman/noise-suppression-for-voice,2
panda-re/panda,2
tvheadend/tvheadend,2
kiddin9/openwrt-packages,2
zrythm/zrythm,2
fontforge/fontforge,2
Novum/vkQuake,2
adrianlopezroche/fdupes,2
alephsecurity/xnu-qemu-arm64,2
audacity/audacity,2
civetweb/civetweb,2
TelegramMessenger/MTProxy,2
Provenance-Emu/Provenance,2
cyd01/KiTTY,2
ellson/MOTHBALLED-graphviz,2
fastos/fastsocket,2
flatpak/flatpak,2
ZipArchive/ZipArchive,2
OnionUI/Onion,2
TrungNguyen1909/qemu-t8030,2
h2o/h2o,2
Motion-Project/motion,2
libfuse/libfuse,2
lastpass/lastpass-cli,2
klange/toaruos,2
weechat/weechat,1
u-boot/u-boot,1
ElementsProject/lightning,1
LiteOS/LiteOS,1
tursodatabase/libsql,1
veracrypt/VeraCrypt,1
RediSearch/RediSearch,1
vmware/open-vm-tools,1
MiSTer-devel/Main_MiSTer,1
P403n1x87/austin,1
xroche/httrack,1
winsiderss/systeminformer,1
NetHack/NetHack,1
martanne/vis,1
sqlite/sqlite,1
tizonia/tizonia-openmax-il,1
amadvance/snapraid,1
liexusong/php-beast,1
namhyung/uftrace,1
Awesome-HarmonyOS/HarmonyOS,1
openvswitch/ovs,1
jmcnamara/libxlsxwriter,1
haiwen/seafile,1
owntone/owntone-server,1
gsliepen/tinc,1
pbatard/rufus,1
google/google-authenticator-libpam,1
foobnix/LibreraReader,1
rui314/chibicc,1
sarah-walker-pcem/pcem,1
signalwire/freeswitch,1
spacemeowx2/switch-lan-play,1
sqlcipher/sqlcipher,1
lpereira/lwan,1
AdAway/AdAway,1
