,analysis_id,size
0,freebsd/freebsd-src,126
1,linux-test-project/ltp,58
2,Stichting-MINIX-Research-Foundation/minix,54
3,hanwckf/rt-n56u,42
4,SchedMD/slurm,32
5,F-Stack/f-stack,27
6,torvalds/linux,23
7,eclipse/paho.mqtt.c,19
8,fastos/fastsocket,18
9,chenyahui/AnnotatedCode,17
10,apple/cups,15
11,huangz1990/annotated_redis_source,13
12,apple/darwin-xnu,13
13,redis/redis,12
14,vurtun/nuklear,10
15,php/php-src,9
16,checkpoint-restore/criu,9
17,antirez/hping,8
18,weechat/weechat,8
19,premake/premake-core,7
20,FRRouting/frr,7
21,emscripten-core/emscripten,7
22,libevent/libevent,6
23,openzfs/zfs,6
24,greenbone/openvas-scanner,6
25,minoca/os,6
26,ntop/PF_RING,5
27,facebookresearch/darkforestGo,5
28,nmathewson/libevent_obsolete,5
29,open-mpi/ompi,5
30,reactos/reactos,5
31,tanersener/mobile-ffmpeg,5
32,andmarti1424/sc-im,5
33,contiki-os/contiki,4
34,swaywm/wlroots,4
35,the-tcpdump-group/tcpdump,4
36,Qihoo360/phptrace,4
37,martanne/vis,3
38,pmq20/ruby-packer,3
39,rsyslog/rsyslog,3
40,openssl/openssl,3
41,okbob/pspg,3
42,ventoy/Ventoy,3
43,ElementsProject/lightning,3
44,memcached/memcached,3
45,matz/streem,2
46,klange/toaruos,2
47,Awesome-HarmonyOS/HarmonyOS,2
48,numberwolf/h265web.js,2
49,pure-data/pure-data,2
50,redis/hiredis,2
51,tporadowski/redis,2
52,warmcat/libwebsockets,2
53,yanfeizhang/coder-kung-fu,2
54,karpathy/llama2.c,2
55,yugabyte/yugabyte-db,2
56,canonical/dqlite,2
57,ellson/MOTHBALLED-graphviz,2
58,fogleman/Craft,2
59,firmianay/CTF-All-In-One,2
60,espressif/esp-idf,2
61,LiteOS/LiteOS,2
62,ggreer/the_silver_searcher,2
63,gsliepen/tinc,2
64,h2o/h2o,2
65,helloexp/0day,2
66,amnezia-vpn/amnezia-client,2
67,axboe/fio,1
68,signalwire/freeswitch,1
69,audacity/audacity,1
70,saghul/txiki.js,1
71,ardagnir/athame,1
72,bitnine-oss/agensgraph,1
73,tmate-io/tmate,1
74,Cisco-Talos/clamav,1
75,tmux/tmux,1
76,rspamd/rspamd,1
77,troydhanson/uthash,1
78,tvheadend/tvheadend,1
79,PromyLOPh/pianobar,1
80,vk-com/kphp-kdb,1
81,Motion-Project/motion,1
82,wazuh/wazuh,1
83,wb2osz/direwolf,1
84,IoLanguage/io,1
85,wg/wrk,1
86,DreamAndDead/CSAPP-3e-Solutions,1
87,Tencent/TBase,1
88,projectNe10/Ne10,1
89,buaazp/zimg,1
90,nicolasff/webdis,1
91,hishamhm/htop,1
92,lh3/bwa,1
93,hanslub42/rlwrap,1
94,luke-jr/bfgminer,1
95,madeye/proxydroid,1
96,greenplum-db/gpdb,1
97,gozfree/gear-lib,1
98,google/honggfuzz,1
99,mruby/mruby,1
100,nkolban/esp32-snippets,1
101,cloudius-systems/osv,1
102,glfw/glfw,1
103,git/git,1
104,giltene/wrk2,1
105,fontforge/fontforge,1
106,owntone/owntone-server,1
107,phpredis/phpredis,1
108,droe/sslsplit,1
109,joncampbell123/dosbox-x,1
110,cyd01/KiTTY,1
111,iovisor/bcc,1
